RELAB ID	DL-CMP-023	DL-CMP-028	DL-CMP-024	DL-CMP-020	DL-CMP-021	DL-CMP-061	DL-CMP-022	DL-CMP-003	DL-CMP-026	DL-CMP-004	DL-CMP-025	DL-CMP-001	DL-CMP-064	DL-CMP-065	DL-CMP-002	DL-CMP-027
Wavelength (um)	023 - En30 Fs70	028 - En25 Fs75	024 - En17 Fs83	020 - En17 Fs83	021 - En8 Fs92	061 - Fs100	022 - En75 Fs25	003 - En75 Fs25	026 - En70 Fs30	004 - En50 Fs50	025 - En35 Fs65	001 - En100	064 - En97.5Fs2.5	065 - En90 Fs10	002 - En80 Fs20	027 - En80 Fs20
0.87	0.06248	0.07328	0.10892	0.10833	0.11885	0.07968	0.36187	0.34092	0.29755	0.17865	0.16116	0.6912	0.49537	0.47192	0.23977	0.26976
0.875	0.0591	0.06953	0.10317	0.10312	0.11358	0.07521	0.35308	0.33156	0.28778	0.17089	0.1538	0.69113	0.4891	0.46332	0.23176	0.26126
0.88	0.05595	0.06607	0.09862	0.09751	0.10838	0.07165	0.34447	0.32366	0.28022	0.16391	0.14792	0.69204	0.48301	0.45676	0.22611	0.25378
0.885	0.05374	0.06303	0.09396	0.09435	0.1036	0.06815	0.33759	0.31706	0.27264	0.15831	0.142	0.69177	0.4777	0.45127	0.22057	0.24763
0.89	0.05191	0.06083	0.09001	0.09024	0.09984	0.06465	0.33183	0.31012	0.26627	0.15278	0.13666	0.69311	0.47335	0.44593	0.21425	0.24263
0.895	0.05047	0.05893	0.0861	0.08723	0.09619	0.06244	0.326	0.30438	0.26212	0.14829	0.13221	0.69264	0.46991	0.44218	0.2104	0.23839
0.9	0.04854	0.05579	0.08346	0.08416	0.09311	0.06036	0.32149	0.30029	0.2568	0.14495	0.12833	0.69453	0.46874	0.43891	0.20724	0.23451
0.905	0.04742	0.05438	0.08116	0.08254	0.09054	0.05871	0.31873	0.29704	0.25418	0.14173	0.12521	0.69445	0.46672	0.43864	0.20551	0.23306
0.91	0.04642	0.05469	0.07881	0.08036	0.08792	0.05683	0.31674	0.29523	0.25153	0.13929	0.12259	0.69436	0.46744	0.43731	0.20465	0.23163
0.915	0.04589	0.05339	0.07669	0.07865	0.08617	0.05525	0.31604	0.29374	0.25043	0.13777	0.12005	0.69496	0.46956	0.43836	0.2038	0.23041
